Sample,Original.label,Treatment,Weeks.post.transplant,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,Percent.Lym,Percent.Mon,Percent.Gra,Number.Lym,Number.Mon,Number.Gra,GFP
miR532.2,BMT2.532-OE (cage 3/4 LEP),miR-532,48,3.7,8.19,12.8,38.7,47,15.6,33,1013,6.1,14.7,NA,NA,NA,1.7,0.3,1.7,17.3
miR532.3,BMT2.532-OE (cage 1/4 LEP),miR-532,48,3.8,8.36,13.4,40.8,49,16.1,32.9,1167,6.2,15.2,NA,NA,NA,1.8,0.3,1.7,82.4
miR532.4,BMT2.532-OE (cage 2/4 LEP),miR-532,48,5.8,9.61,14.5,44.8,47,15.1,32.3,941,6,14.7,NA,NA,NA,3.1,0.4,2.3,65.7
miR532.5,BMT2.532-OE (cage 1/4 REP),miR-532,48,13.9,9.31,14.1,41.5,45,15.2,34,1553,6.3,15.1,NA,NA,NA,5,1.1,7.8,9.88
miR532.6,BMT2.532-OE (cage 1/4 NEP),miR-532,48,5.8,8.89,13.5,41.6,47,15.1,32.4,653,6.1,16.2,NA,NA,NA,2.6,0.6,2.6,72.3
miR532.7,"BMT2.532-OE (cage 2/4, BEP)",miR-532,48,4.5,7.5,12.3,35.5,47,16.4,34.6,830,6.7,15.6,NA,NA,NA,2.7,0.3,1.5,52.8
miR532.8,BMT2.532-OE (cage 3/4 BEP),miR-532,48,2.8,6.57,11.2,33.2,51,17,33.6,1321,6.2,14.4,NA,NA,NA,1.6,0.3,0.9,16.3
miR532.9,BMT2.532-OE (cage 3/4 REP),miR-532,48,6.4,9.6,14.2,44.2,46,14.8,32.2,1079,5.9,14.9,NA,NA,NA,3.2,0.5,2.7,17.4
miR532.10,BMT2.532-OE (cage 2/4 NEP),miR-532,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.11,BMT2.532-OE (cage 4/4 LEP),miR-532,48,5.4,8.94,13.6,41.9,47,15.2,32.5,1162,5.8,14.5,NA,NA,NA,2.7,0.4,2.3,45.2
miR532.12,BMT2.532-OE (cage 4/4 BEP),miR-532,48,7.4,8.88,13.4,40.7,46,15,32.8,647,6.2,14.7,NA,NA,NA,3,0.6,3.8,82.2
miR532.13,BMT2.532-OE (cage 4/4 NEP),miR-532,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.14,BMT2.532-OE (cage 3/4 NEP),miR-532,48,9.8,8.9,13,40.3,45,14.6,32.3,828,6.2,14.3,NA,NA,NA,5.2,0.7,3.9,34.4
miR532.15,BMT2.532-OE (cage 2/4 REP),miR-532,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.16,BMT2.532-OE (cage 1/4 BEP),miR-532,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.1,BMT1.MIG (NEP cage 1/2),control,49,11.1,8.42,13.2,41.1,49,15.6,32.1,555,7.4,15.2,NA,NA,NA,4.7,1.1,5.3,NA
MIG.2,BMT1.MIG (REP cage 1/2),control,49,4.9,5.22,8.1,24.6,47,15.4,32.8,145,7.5,14.8,NA,NA,NA,2.1,0.5,2.3,NA
MIG.3,BMT1.MIG (BEP cage 2/2),control,49,10.4,0.24,0,1.8,75,0,0,5,6.2,19.9,NA,NA,NA,1.6,0.7,8.1,96.8
MIG.4,BMT1.MIG (REP cage 2/2),control,49,2.5,6.07,9.3,28.5,47,15.4,33,58,8.6,14.6,NA,NA,NA,1,0.2,1.3,50.4
MIG.8,BMT2.MIG (cage 1/2 BEP),control,50,65.3,1.05,3.3,9.3,89,31.1,35.1,56,6.6,16.4,NA,NA,NA,5,3.3,57,NA
